period_window,pollutant,coverage_pct_real
pandemic_MarJul2020,PM2.5,99.94
baseline_MarJul2024,PM2.5,92.99
current_MarJul2025,PM2.5,98.94
pandemic_MarJul2020,NO2,90.7
baseline_MarJul2024,NO2,100.0
current_MarJul2025,NO2,100.0
pandemic_MarJul2020,CO,99.89
baseline_MarJul2024,CO,100.0
current_MarJul2025,CO,96.66
pandemic_MarJul2020,NO,90.37
baseline_MarJul2024,NO,99.9
current_MarJul2025,NO,98.73
pandemic_MarJul2020,NOX_final,95.37
baseline_MarJul2024,NOX_final,100.0
current_MarJul2025,NOX_final,99.6
